nr	selection	note
0	승진	"promotion; advancement

직장에서 지금보다 더 높은 자리에 오름.

The act of moving up to a higher position at one's workplace.promotion; advancement

직장에서 지금보다 더 높은 자리에 오름.

The act of moving up to a higher position at one's workplace."
1	연애	"romance; courtship

남자와 여자가 서로 사랑해서 사귐.

A man and a woman loving each other and having a romantic relationship."
2	기죽지	"	be discouraged , be downhearted , be downcast , be crestfallen
"
3	속도로	""
4	속도	"speed

물체가 움직이거나 일이 진행되는 빠르기.

The speed of either an object's movement or the process of things."
5	살아가	"	live; (생계를 유지하다) make[earn] a living, earn a livelihood
"
6	책임감	"sense of responsibilit"
7	무게	"
weight

물건의 무거운 정도.

The degree of an object's heaviness."
8	내려놓아도	"put down
신문을 탁자 위에 내려놓다

put down the newspaper on the table "
9	망하	" go under, go bankrupt, (informal) go broke, (informal) go bust, (회사 등이) go out of business, "
10	연봉	"annual income"
11	협상	"[명사] negotiation, talks, (임금·가격 등의) bargaining, [동사] negotiate (with), (임금·가격 등을) bargain (with)"
12	굵직한	"일·사건 등이) weighty, important
즉시 해결해야 할 굵직굵직한 현안들이 줄을 섰다

The weighty[important] issues[matters] in need of immediate actions are lined up"
13	성과	"	result, outcome, fruit(s), product
30년에 걸친 연구의 성과

the result[outcome; fruit(s)] of 30 years of study 듣기반복재생"
14	거머쥐고	"grasp, grip, grab ((up)) (greedily), clutch[take hold of] greedily
잔뜩 거머쥐다

take all that one´s fist can hold 듣기"
15	척척	"readily, easily, without hesitation
그녀는 어려운 문제도 척척 풀었다

She solved even difficult problems easily"
16	여전히	"	still, as ever
그는 여전히 게으르다

He is (as) lazy as ever. "
17	제자리걸음	standstill
18	연말	"the end[close] of the year, year-end
연말에

at the end of the year "
19	연초	"the beginning of the year
연초에

at the beginning of the year"
20	모임	"meeting, gathering, get-together
모임에 참석하다

attend a meeting"
21	움츠러들	"shrink, withdraw
추워서 몸이 움츠러들었다

I shrank from the cold. "
22	뒤처진	"fall behind, lag behind
5킬로미터를 넘어서자 그는 뒤처지기 시작했다

After five kilometers, he started to fall behind."
23	익힐	"master, become proficient (at), familiarize oneself with
기술을 익히다

master the technique (of) "
24	시절	"	days, years
학창 시절이 그립다

I miss my school days[years]."
25	좌우명	""
26	전력투구	""
27	초년생	"a mere beginner
이 일에 나는 초년생이다

I´m a mere beginner in this business. "
28	그야말로	"simply, really, indeed, truly, literally
사고 현장은 그야말로 아비규환이었다

The scene of the accident was simply[literally] hell. "
29	자세	"posture, position; (포즈) pose
편한 자세로 앉다

sit in a comfortable position "
30	장학금	"scholarship, (Am) fellowship, (Brit) bursary
장학금을 주다

award a scholarship"
31	직장	"job, work; (일터) office, workplace, place of work[employment]
첫 직장

one's first job"
32	취직	"	get[find] a job, find employment[work], find[get] a position
무역 회사에 취직하다

get a job in a trading company"
33	소식	"news, word
이메일로 소식을 주고받다

exchange news by e-mail "
34	초조해하며	"1.	be impatient
2.	fret
3.	be irritated
4.	grow anxious"
35	순간	"moment, instant
나는 여행의 매 순간을 즐겼다

I enjoyed every minute[moment] of the trip."
36	지쳐있	"to be run-down"
37	그후로	"1.	afterward
2.	later
3.	after that
4.	since (then)
5.	from then on"
38	의지	"will과 자주 쓰이는 패턴

He expressed his will to negotiate.
그는 협상 의지를 표명했다

She had to marry against her will.
그녀는 자신의 의지와 반대되는 결혼을 해야 했다

The leader imposed his will on the situation to turn it to his advantage.
그 지도자는 자신에게 유리하도록 상황을 자기 의지대로 하려 했다"
39	이불로	"blanket, covers, (Am) comforter, (Brit) duvet; (침구류) bedding, bedclothes; (누비이블) quilt
어머니는 아이에게 이불을 덮어 주었다

The mother covered her child with a blanket. "
40	둘둘	"rolling, rumbling
"
41	감싸고	"1.	(몸·물건 등을) cover (up), wrap (up)
그녀는 아기를 숄로 감쌌다

She wrapped the baby in a shawl. 듣기반복재생

2.	(약점·허물 등을) defend, defend, cover[speak, stand, stick] up for
엄마는 언제나 나를 감싸 주신다

My mother always covers[stands] up for me. 듣기반복재생"
42	지인	"(아는 사람) acquaintance; (친구) friend
지인으로부터 아내를 소개받았다

I was first introduced to my wife by an acquaintance. 듣기반복재생"
43	안쓰럽게	"Some people felt bad for Aniston. 듣기 Add to Wordbook
어떤 사람들은 애니스톤을 안쓰럽게 생각했다."
44	시선	"1.	(눈길) one's eyes
시선을 피하다

avoid[escape] sb's eyes 듣기반복재생

2.	(관심) attention
시선을 끄는 디자인

an eye-catching design "
45	기준을	"deviate from the norm "
46	나태함	"idle; indolent
행동이나 성격이 느리고 게으르다.

A behavior or personality being slow and lazy."
47	외면하	"	turn one's face away; look away; [무시하다] disregard."
48	우려	"[명사] concern, worry, fear, [동사] be concerned, worry (about), fear (that)
우려를 나타내다

express concern (about/over)"
49	유유자적	"	living in easy[comfortable] retirement, living free from worldly cares"
50	글자	"	letter; (활자) type; (숫자, 기호) character"
